Customer_ID,City,City_Tier,Annual_Income,Annual_Spending,Purchase_Frequency,Spending_Score
1,Bareilly,2,2492743,471140,40,0.189
2,Bareilly,2,2370006,627606,30,0.265
3,Delhi,1,2039911,637925,43,0.313
4,Gorakhpur,3,264820,87522,6,0.330
5,Chandigarh,2,827069,124221,20,0.150
6,Chennai,1,903355,274954,40,0.304
7,Gorakhpur,3,547449,83084,26,0.152
8,Jabalpur,3,686232,192964,21,0.281
9,Chennai,1,4330409,1703751,47,0.393
10,Chennai,1,2300942,700858,66,0.305
11,Salem,3,791723,313370,27,0.396
12,Delhi,1,3228388,621887,26,0.193
13,Ujjain,3,673254,260698,22,0.387
14,Delhi,1,4185659,1473767,33,0.352
15,Jabalpur,3,931912,193579,25,0.208
16,Hyderabad,1,4197723,1346696,66,0.321
17,Jabalpur,3,772843,122570,12,0.159
18,Hyderabad,1,5598669,1202006,36,0.215
19,Chennai,1,2573415,586552,23,0.228
20,Chandigarh,2,708261,203042,36,0.287
21,Bareilly,2,371829,127828,22,0.344
22,Jaipur,2,696769,260387,24,0.374
23,Gorakhpur,3,1150110,266405,20,0.232
24,Mumbai,1,1364685,382396,42,0.280
25,Indore,2,1507293,544333,22,0.361
26,Lucknow,2,1572876,448148,32,0.285
27,Nagpur,2,1897527,742528,40,0.391
28,Chennai,1,3413740,764911,60,0.224
29,Delhi,1,5973036,919304,20,0.154
30,Nagpur,2,764712,190199,38,0.249
31,Jaipur,2,633767,97295,38,0.154
32,Mumbai,1,2537095,881751,54,0.348
33,Mumbai,1,2909818,1110314,24,0.382
34,Mumbai,1,3748089,1419550,60,0.379
35,Jaipur,2,2343400,614820,22,0.262
36,Mumbai,1,5345583,1695674,42,0.317
37,Mumbai,1,5483874,1696652,63,0.309
38,Indore,2,524538,140604,17,0.268
39,Lucknow,2,2448260,803791,29,0.328
40,Nagpur,2,684064,198596,19,0.290
41,Jaipur,2,2472990,676236,28,0.273
42,Indore,2,1667752,428420,29,0.257
43,Hyderabad,1,922409,184878,32,0.200
44,Gorakhpur,3,250015,67214,11,0.269
45,Nagpur,2,1733916,653498,18,0.377
46,Jaipur,2,1654454,417908,21,0.253
47,Nagpur,2,1273290,263825,43,0.207
48,Nagpur,2,1873343,416702,21,0.222
49,Hyderabad,1,5374293,2055260,47,0.382
50,Gorakhpur,3,264044,46570,29,0.176
51,Hyderabad,1,4827419,949275,63,0.197
52,Chandigarh,2,1701482,307154,40,0.181
53,Jaipur,2,1963768,739765,21,0.377
54,Bareilly,2,885440,276188,29,0.312
55,Bareilly,2,337848,80455,24,0.238
56,Salem,3,602690,115212,11,0.191
57,Indore,2,2209466,599223,23,0.271
58,Hyderabad,1,5222880,1224262,61,0.234
59,Salem,3,365838,74883,26,0.205
60,Hyderabad,1,2296176,490185,68,0.213
61,Lucknow,2,1762859,571300,44,0.324
62,Mumbai,1,1216880,269186,56,0.221
63,Lucknow,2,1641840,496477,41,0.302
64,Hyderabad,1,3917697,638074,47,0.163
65,Bangalore,1,1069536,224485,20,0.210
66,Bareilly,2,713153,194236,25,0.272
67,Jaipur,2,1783743,375502,20,0.211
68,Jaipur,2,1619043,551130,37,0.340
69,Delhi,1,2541093,679933,43,0.268
70,Nagpur,2,606081,151342,20,0.250
71,Chandigarh,2,610078,213274,30,0.350
72,Jaipur,2,1904104,527531,42,0.277
73,Chandigarh,2,551663,201130,43,0.365
74,Delhi,1,4935314,1372132,45,0.278
75,Indore,2,2310578,719267,34,0.311
76,Chandigarh,2,714835,230701,23,0.323
77,Jaipur,2,571295,219481,21,0.384
78,Bareilly,2,499648,117550,15,0.235
79,Chandigarh,2,1325816,505365,32,0.381
80,Chennai,1,2458845,527386,61,0.214
81,Mumbai,1,5639567,2230686,45,0.396
82,Lucknow,2,647443,139334,42,0.215
83,Ujjain,3,886976,347122,20,0.391
84,Bareilly,2,1007364,373388,9,0.371
85,Mumbai,1,5984502,1314901,28,0.220
86,Jaipur,2,1198002,433275,30,0.362
87,Jaipur,2,2077363,521682,38,0.251
